country,Gold,Silver,Bronze,Total,Gold_lower,Gold_upper,Silver_lower,Silver_upper,Bronze_lower,Bronze_upper,Total_lower,Total_upper,predict_rank,improvement
United_States,42.42,42.29,32.84,117.55,13.89,72.42,13.05,71.16,1.53,65.68,20.04,180.56,1.0,0.0
China,30.96,28.5,23.77,92.79,0.0,61.08,13.78,43.64,5.85,41.66,49.69,135.23,2.0,0.0
Russia,31.37,25.1,29.83,86.3,0.0,65.54,0.0,59.92,2.1,56.12,0.09,133.82,3.0,0.0
Japan,24.47,15.02,12.63,52.12,8.38,40.5,7.72,23.04,1.29,24.7,47.37,88.13,4.0,-1.0
Great_Britain,10.32,20.3,16.86,47.48,0.0,36.57,0.0,42.68,0.0,36.84,0.0,118.32,5.0,2.0
Australia,17.39,16.01,17.08,47.08,7.57,28.35,3.71,28.02,5.12,29.41,20.04,74.13,6.0,-2.0
France,11.02,20.37,13.13,44.52,0.0,22.7,6.08,35.72,0.0,28.86,0.0,80.58,7.0,-2.0
South_Korea,15.45,5.39,10.26,40.87,6.01,24.61,0.0,14.25,3.16,17.75,25.22,56.42,8.0,0.0
Italy,11.53,10.62,15.38,39.06,2.87,20.73,3.23,17.47,5.88,25.11,17.51,58.82,9.0,0.0
Netherlands,13.91,12.37,10.47,38.65,5.86,21.63,3.63,20.89,2.25,17.84,23.35,55.56,10.0,-4.0
Germany,9.28,13.7,8.47,31.46,0.0,34.97,0.0,34.75,0.0,30.49,0.0,101.83,11.0,-1.0
Canada,7.55,3.12,12.01,26.55,1.43,13.58,0.0,11.15,3.3,20.91,6.45,47.82,12.0,0.0
Hungary,6.28,5.75,7.17,23.49,0.0,13.42,0.0,13.98,0.0,16.43,6.12,39.72,13.0,1.0
Brazil,7.9,6.74,7.88,21.87,3.91,11.69,2.95,10.17,2.36,12.9,13.12,30.8,14.0,6.0
Yugoslavia,5.9,4.86,6.85,21.71,1.98,9.98,1.84,7.99,3.68,10.16,13.86,28.97,15.0,0.0
New_Zealand,8.76,7.63,5.43,20.21,0.39,17.4,3.72,11.59,0.0,11.52,12.06,28.59,16.0,-5.0
Ukraine,1.26,5.02,11.99,18.99,0.0,7.18,1.05,8.94,3.55,21.06,4.46,32.51,17.0,5.0
Mixed_team,7.92,1.0,1.0,18.04,4.09,11.55,0.0,7.49,0.0,7.16,9.66,26.77,18.0,0.0
Spain,2.88,6.78,7.52,15.77,0.0,10.32,0.0,16.72,4.31,11.03,5.47,25.68,19.0,-4.0
Denmark,1.86,5.06,5.47,13.6,0.0,4.52,0.15,9.92,0.75,10.11,5.01,21.7,20.0,9.0
Uzbekistan,10.3,0.16,6.98,13.0,2.91,17.0,0.0,1.05,0.52,13.14,0.94,25.32,21.0,-8.0
Poland,1.99,5.03,4.09,11.97,0.0,6.45,0.0,11.09,0.0,12.05,0.0,25.11,22.0,20.0
Romania,3.07,1.9,2.71,11.34,0.0,16.51,0.0,10.86,0.0,12.02,0.0,36.42,23.0,0.0
Czechoslovakia,4.87,4.59,2.06,10.43,0.0,10.02,0.99,7.94,0.0,6.67,1.63,19.14,24.0,0.0
Czech_Republic,1.01,5.44,6.99,10.0,0.0,5.33,3.02,7.94,0.12,13.55,3.81,16.05,25.0,3.0
Georgia,1.0,2.02,2.12,9.4,0.0,3.51,0.0,5.41,0.0,6.09,6.08,12.94,26.0,-2.0
India,0.53,2.02,3.64,9.23,0.0,1.81,0.63,3.42,1.48,5.88,6.01,12.64,27.0,44.0
Norway,2.63,3.69,1.33,9.09,0.0,8.7,0.0,8.57,0.0,5.69,0.0,22.32,28.0,-10.0
Iran,4.25,2.78,2.06,9.02,0.0,8.91,0.0,7.06,0.0,4.46,1.82,16.65,29.0,-8.0
Serbia,3.03,1.0,4.98,8.98,1.67,4.24,0.0,3.95,1.67,8.44,3.37,14.21,30.0,-3.0
Ethiopia,0.92,3.45,3.17,8.48,0.0,4.18,0.7,6.07,0.0,6.93,2.23,14.69,31.0,16.0
Sweden,2.55,4.39,0.88,8.17,0.0,11.23,0.0,13.22,0.0,11.69,0.0,32.56,32.0,-16.0
Croatia,0.68,2.95,1.86,8.09,0.0,5.59,1.01,5.03,0.3,3.49,2.8,13.33,33.0,-3.0
Kenya,5.47,5.97,1.76,8.02,0.37,10.32,1.28,11.06,0.0,5.92,0.0,17.35,34.0,-17.0
Azerbaijan,1.72,2.0,4.25,7.04,0.43,3.07,0.0,8.06,0.0,10.33,0.0,18.18,35.0,-5.0
Kazakhstan,1.0,3.78,3.01,6.99,0.0,3.76,0.0,9.72,0.0,10.36,0.0,17.42,36.0,7.0
Belgium,1.3,1.18,0.57,6.84,0.0,8.25,0.0,7.78,0.0,5.62,0.0,20.89,37.0,-12.0
Bulgaria,3.69,1.37,2.15,6.79,0.0,9.9,0.0,9.46,0.0,10.68,0.0,26.97,38.0,-12.0
North_Korea,0.11,2.77,1.21,6.74,0.0,4.71,0.0,5.93,0.0,4.14,2.94,10.52,39.0,29.0
Israel,-0.02,-0.01,2.0,6.68,0.0,1.97,0.0,4.81,0.61,3.4,2.58,10.23,40.0,1.0
Switzerland,2.63,1.86,1.88,6.64,0.0,7.36,0.0,7.8,0.0,8.65,0.0,22.49,41.0,7.0
Belarus,1.12,6.68,3.14,6.53,0.0,3.45,4.93,8.49,0.0,8.77,0.23,13.1,42.0,0.0
Turkey,0.71,1.05,6.04,5.7,0.0,7.45,0.0,3.88,0.89,10.82,0.0,13.19,43.0,21.0
Jamaica,3.79,4.4,3.48,5.54,0.0,8.28,0.0,8.92,0.29,6.74,0.0,14.12,44.0,0.0
Cuba,4.17,2.74,5.22,5.39,0.0,11.62,0.0,8.86,0.0,13.92,0.0,18.38,45.0,-13.0
Mexico,0.22,2.98,2.42,4.9,0.0,2.56,0.0,6.24,0.0,4.95,0.0,10.39,46.0,19.0
Ecuador,0.01,2.6,0.0,4.54,0.0,1.79,1.03,4.33,0.0,2.2,1.2,7.65,47.0,2.0
Egypt,0.51,1.47,2.03,4.22,0.0,2.31,0.34,2.65,0.0,5.43,0.0,8.77,48.0,4.0
Colombia,0.14,2.33,0.79,4.05,0.0,2.5,0.0,4.95,0.0,4.25,0.0,9.05,49.0,17.0
Lithuania,0.25,1.72,2.34,4.01,0.0,3.02,0.0,4.2,0.0,5.59,0.0,8.44,50.0,20.0
Armenia,0.0,2.0,0.98,3.99,0.0,1.3,0.0,4.41,0.0,3.72,0.73,7.33,51.5,14.5
Zimbabwe,1.0,0.01,0.0,3.99,0.0,2.73,0.0,3.29,0.0,1.28,0.69,7.13,51.5,0.0
Greece,1.37,0.5,1.59,3.77,0.0,6.39,0.0,7.76,0.0,9.25,0.0,22.53,53.0,-2.0
Ireland,2.78,0.07,0.89,3.74,0.0,6.37,0.0,1.57,0.0,4.75,0.0,7.88,54.0,-35.0
Algeria,0.8,1.02,0.52,3.61,0.0,2.71,0.0,2.99,0.0,3.93,0.0,7.5,55.0,-16.0
Thailand,2.19,1.87,2.26,3.46,0.0,4.88,0.0,4.39,0.0,4.85,0.0,9.16,56.0,-12.0
Indonesia,0.68,1.56,1.8,3.44,0.0,2.23,0.0,4.35,0.0,5.0,0.0,6.81,57.0,-18.0
Chinese_Taipei,1.87,0.27,1.59,3.37,0.14,3.62,0.0,3.82,0.0,6.57,0.0,11.54,58.0,-23.0
South_Africa,0.94,2.35,0.71,3.11,0.0,4.17,0.0,6.05,0.0,4.7,0.0,10.33,59.0,-15.0
Kyrgyzstan,0.0,2.84,1.01,3.0,0.0,0.0,1.22,4.54,0.0,3.97,0.0,7.34,60.0,8.0
Slovenia,0.88,1.58,0.35,2.97,0.0,3.7,0.11,3.03,0.0,2.89,0.53,5.32,61.0,-27.0
Mongolia,0.0,1.09,3.19,2.95,0.0,1.93,0.0,3.07,0.38,6.26,0.0,6.45,62.0,12.0
Nigeria,0.2,1.7,2.09,2.9,0.0,2.16,0.0,5.24,0.12,3.96,0.0,7.75,63.0,0.0
Chile,0.68,0.88,0.62,2.89,0.0,3.43,0.1,1.61,0.0,2.47,0.0,5.98,64.0,-9.0
Argentina,1.7,1.43,1.72,2.64,0.0,3.96,0.0,4.12,0.0,5.13,0.0,6.27,65.0,-13.0
Trinidad_and_Tobago,0.59,1.17,0.75,2.43,0.0,2.13,0.09,2.28,0.0,2.17,0.05,4.96,66.0,0.0
Latvia,1.0,-0.0,1.0,2.33,0.0,2.15,0.0,4.64,0.0,2.46,0.0,5.31,67.0,0.0
Portugal,0.91,0.92,0.68,2.28,0.0,1.99,0.0,3.05,0.0,2.4,0.0,4.75,68.0,-18.0
Estonia,0.44,0.72,1.19,2.27,0.0,2.15,0.0,2.34,0.0,3.84,0.0,6.12,69.0,0.0
Venezuela,0.74,2.54,0.38,2.11,0.0,1.8,0.46,4.77,0.0,3.56,0.0,4.52,70.0,0.0
Tunisia,0.77,0.05,0.66,2.06,0.0,2.57,0.0,1.48,0.0,3.72,0.0,4.57,71.5,-19.5
Malaysia,0.0,0.31,1.0,2.06,0.0,0.0,0.0,4.11,0.0,2.21,0.0,5.4,71.5,8.5
Bohemia,0.0,,,2.0,0.0,0.0,,,,,0.0,5.28,75.0,0.0
Kosovo,0.07,0.0,0.0,2.0,0.0,2.23,0.0,1.4,0.0,1.44,0.73,3.26,75.0,-2.0
Namibia,0.0,2.0,0.0,2.0,0.0,0.0,0.73,3.24,0.0,0.0,0.86,3.15,75.0,0.0
Lebanon,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.2,0.0,2.23,0.77,3.25,75.0,0.0
Panama,0.0,0.0,1.99,2.0,0.0,1.36,0.0,1.27,0.0,4.95,0.73,3.22,75.0,-1.0
Bahamas,0.26,0.42,1.23,1.93,0.0,2.38,0.0,1.84,0.0,2.47,0.24,3.62,78.0,0.0
Dominican_Republic,1.25,0.21,1.33,1.89,0.0,2.94,0.0,3.23,0.36,2.23,0.0,5.39,79.0,-20.0
Fiji,1.0,0.0,0.0,1.72,0.0,2.23,0.0,1.26,0.0,1.36,0.0,3.77,80.5,-6.5
Jordan,1.0,0.0,0.0,1.72,0.0,2.33,0.0,1.26,0.0,1.25,0.0,3.72,80.5,-6.5
Ivory_Coast,0.61,0.0,1.0,1.61,0.0,1.75,0.0,1.08,0.0,2.12,0.58,2.64,82.0,2.0
Austria,0.73,2.11,1.29,1.57,0.0,3.64,0.0,6.48,0.0,5.25,0.0,8.93,83.0,-47.0
Moldova,0.0,1.0,1.0,1.19,0.0,0.0,0.0,2.23,0.0,2.96,0.0,3.36,84.0,-12.0
Morocco,-0.0,0.26,0.5,1.12,0.0,1.81,0.0,1.46,0.0,3.74,0.0,4.81,85.0,-25.0
Slovakia,0.25,-0.04,1.0,1.01,0.0,2.96,0.0,2.77,0.0,2.98,0.0,4.87,86.5,-2.5
Philippines,2.46,1.02,-0.23,1.01,1.65,3.25,0.0,2.64,0.0,2.19,0.0,4.53,86.5,-49.5
Luxembourg,1.0,0.0,0.0,1.0,0.0,2.29,0.0,1.38,0.0,0.0,0.0,2.6,103.0,0.0
Burundi,,,0.0,1.0,,,,,0.0,0.0,0.0,2.58,103.0,0.0
Cameroon,0.42,0.0,0.0,1.0,0.0,1.7,0.0,0.93,0.0,1.16,0.0,2.68,103.0,0.0
Peru,0.0,1.0,0.0,1.0,0.0,1.01,0.0,2.19,0.0,1.07,0.0,2.57,103.0,-19.0
Niger,0.0,,,1.0,0.0,0.0,,,,,0.0,2.67,103.0,0.0
Mozambique,,0.0,,1.0,,,0.0,0.0,,,0.0,2.59,103.0,0.0
Ghana,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.08,2.02,0.0,2.65,103.0,0.0
Haiti,0.0,,,1.0,0.0,0.0,,,,,0.0,2.76,103.0,0.0
Kuwait,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,2.48,103.0,0.0
Iceland,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.17,0.0,2.34,0.0,2.65,103.0,0.0
Afghanistan,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,2.64,103.0,0.0
Syria,0.0,0.0,1.0,1.0,0.0,1.12,0.0,1.14,0.0,2.28,0.0,2.62,103.0,0.0
Pakistan,-0.03,0.0,0.67,1.0,0.0,0.94,0.0,0.8,0.0,1.85,0.46,1.49,103.0,-41.0
Uruguay,0.17,0.75,-0.68,1.0,0.0,0.88,0.0,1.9,0.0,1.5,0.0,2.38,103.0,0.0
Suriname,,0.0,,1.0,,,0.0,0.0,,,0.0,2.65,103.0,0.0
