Unnamed:_0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Number_of_people,Basketball,Judo,Football,Tug-Of-War,Athletics,Swimming,Badminton,Sailing,Gymnastics,Art_Competitions,Handball,Weightlifting,Wrestling,Water_Polo,Hockey,Rowing,Fencing,Equestrianism,Shooting,Boxing,Taekwondo,Cycling,Diving,Canoeing,Tennis,Modern_Pentathlon,Golf,Softball,Archery,Volleyball,Synchronized_Swimming,Table_Tennis,Baseball,Rhythmic_Gymnastics,Rugby_Sevens,Trampolining,Beach_Volleyball,Triathlon,Rugby,Lacrosse,Polo,Cricket,Ice_Hockey,Racquets,Motorboating,Croquet,Figure_Skating,Jeu_De_Paume,Roque,Basque_Pelota,Alpinism,Aeronautics,Cycling_Road,Artistic_Gymnastics,Karate,Baseball/Softball,Trampoline_Gymnastics,Marathon_Swimming,Canoe_Slalom,Surfing,Canoe_Sprint,Cycling_BMX_Racing,Equestrian,Artistic_Swimming,Cycling_Track,Skateboarding,Cycling_Mountain_Bike,3x3_Basketball,Cycling_BMX_Freestyle,Sport_Climbing,"Marathon_Swimming,_Swimming",Breaking,"Cycling_Road,_Cycling_Track","Cycling_Road,_Cycling_Mountain_Bike","Cycling_Road,_Triathlon","3x3_Basketball,_Basketball"
0,1,United_States,11,7,2,20,1896,0,14,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Greece,10,18,19,47,1896,1,101,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Germany,6,5,2,13,1896,0,19,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,France,5,4,2,11,1896,0,12,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,Great_Britain,2,3,2,7,1896,0,10,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Hungary,2,1,3,6,1896,0,7,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,Austria,2,1,2,5,1896,0,3,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,Australia,2,0,0,2,1896,0,1,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,Denmark,1,2,3,6,1896,0,3,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Switzerland,1,2,0,3,1896,0,3,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,Mixed_team,1,0,1,2,1896,0,3,0,0,0,0,12,4,0,0,8,0,0,2,1,0,0,0,3,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,France,27,39,37,103,1900,1,536,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,United_States,19,14,15,48,1900,0,59,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,Great_Britain,15,7,9,31,1900,0,39,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,Mixed_team,8,5,6,19,1900,0,39,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,Belgium,6,7,4,17,1900,0,28,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,Switzerland,6,2,1,9,1900,0,15,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,Germany,4,3,2,9,1900,0,33,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8,Italy,3,2,0,5,1900,0,23,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9,Australia,2,0,3,5,1900,0,2,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10,Denmark,1,3,2,6,1900,0,11,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,11,Hungary,1,2,2,5,1900,0,18,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,Cuba,1,1,0,2,1900,0,1,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,13,Canada,1,0,1,2,1900,0,4,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,Spain,1,0,0,1,1900,0,4,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,14,Luxembourg,1,0,0,1,1900,0,1,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,16,Austria,0,3,3,6,1900,0,15,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,17,Norway,0,2,3,5,1900,0,7,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,17,Netherlands,0,2,3,5,1900,0,18,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,19,India,0,2,0,2,1900,0,1,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,20,Bohemia,0,1,1,2,1900,0,7,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
