Year,sport,event,host,country,gold,silver,bronze,medal,Total
1896,Athletics,"Athletics_Men's_1,500_metres",0,FRA,0,0,1,Bronze,1
1896,Athletics,Athletics_Men's_400_metres,0,GBR,0,0,1,Bronze,1
1896,Athletics,Athletics_Men's_Pole_Vault,1,GRE,0,0,1,Bronze,1
1896,Athletics,Athletics_Men's_800_metres,1,GRE,0,0,1,Bronze,1
1896,Athletics,Athletics_Men's_Shot_Put,1,GRE,0,1,1,Bronze,2
1896,Athletics,Athletics_Men's_Triple_Jump,1,GRE,0,0,1,Bronze,1
1896,Athletics,Athletics_Men's_Discus_Throw,1,GRE,0,1,1,Bronze,2
1896,Athletics,Athletics_Men's_Marathon,0,HUN,0,0,1,Bronze,1
1896,Athletics,Athletics_Men's_100_metres,0,HUN,0,0,1,Bronze,1
1896,Athletics,Athletics_Men's_Long_Jump,0,USA,1,1,1,Bronze,3
1896,Athletics,Athletics_Men's_100_metres,0,USA,1,0,1,Bronze,2
1896,Athletics,Athletics_Men's_800_metres,0,AUS,1,0,0,Gold,1
1896,Athletics,"Athletics_Men's_1,500_metres",0,AUS,1,0,0,Gold,1
1896,Athletics,Athletics_Men's_Marathon,1,GRE,1,1,0,Gold,2
1896,Athletics,Athletics_Men's_100_metres,0,USA,1,0,1,Gold,2
1896,Athletics,Athletics_Men's_400_metres,0,USA,1,1,0,Gold,2
1896,Athletics,Athletics_Men's_High_Jump,0,USA,1,0,0,Gold,1
1896,Athletics,Athletics_Men's_Long_Jump,0,USA,1,1,1,Gold,3
1896,Athletics,Athletics_Men's_Triple_Jump,0,USA,1,0,0,Gold,1
1896,Athletics,Athletics_Men's_110_metres_Hurdles,0,USA,1,0,0,Gold,1
1896,Athletics,Athletics_Men's_Shot_Put,0,USA,1,0,0,Gold,1
1896,Athletics,Athletics_Men's_Discus_Throw,0,USA,1,0,0,Gold,1
1896,Athletics,Athletics_Men's_Pole_Vault,0,USA,1,1,0,Gold,2
1896,Athletics,Athletics_Men's_Triple_Jump,0,FRA,0,1,0,Silver,1
1896,Athletics,Athletics_Men's_100_metres,0,GER,0,1,0,Silver,1
1896,Athletics,Athletics_Men's_110_metres_Hurdles,0,GBR,0,1,0,Silver,1
1896,Athletics,Athletics_Men's_Shot_Put,1,GRE,0,1,1,Silver,2
1896,Athletics,Athletics_Men's_Discus_Throw,1,GRE,0,1,1,Silver,2
