Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Number_of_people
0,1,United_States,11,7,2,20,1896,0,14
1,2,Greece,10,18,19,47,1896,1,101
2,3,Germany,6,5,2,13,1896,0,19
3,4,France,5,4,2,11,1896,0,12
4,5,Great_Britain,2,3,2,7,1896,0,10
5,6,Hungary,2,1,3,6,1896,0,7
6,7,Austria,2,1,2,5,1896,0,3
7,8,Australia,2,0,0,2,1896,0,1
8,9,Denmark,1,2,3,6,1896,0,3
9,10,Switzerland,1,2,0,3,1896,0,3
10,11,Mixed_team,1,0,1,2,1896,0,3
11,1,France,27,39,37,103,1900,1,536
12,2,United_States,19,14,15,48,1900,0,59
13,3,Great_Britain,15,7,9,31,1900,0,39
14,4,Mixed_team,8,5,6,19,1900,0,39
15,5,Belgium,6,7,4,17,1900,0,28
16,6,Switzerland,6,2,1,9,1900,0,15
17,7,Germany,4,3,2,9,1900,0,33
18,8,Italy,3,2,0,5,1900,0,23
19,9,Australia,2,0,3,5,1900,0,2
20,10,Denmark,1,3,2,6,1900,0,11
21,11,Hungary,1,2,2,5,1900,0,18
22,12,Cuba,1,1,0,2,1900,0,1
23,13,Canada,1,0,1,2,1900,0,4
24,14,Spain,1,0,0,1,1900,0,4
25,14,Luxembourg,1,0,0,1,1900,0,1
26,16,Austria,0,3,3,6,1900,0,15
27,17,Norway,0,2,3,5,1900,0,7
28,17,Netherlands,0,2,3,5,1900,0,18
29,19,India,0,2,0,2,1900,0,1
30,20,Bohemia,0,1,1,2,1900,0,7
31,21,Sweden,0,0,1,1,1900,0,10
32,1,United_States,76,78,77,231,1904,1,417
33,2,Germany,4,5,6,15,1904,0,22
34,3,Canada,4,1,1,6,1904,0,9
35,4,Cuba,3,0,0,3,1904,0,3
36,5,Hungary,2,1,1,4,1904,0,4
37,5,Mixed_team,2,1,1,4,1904,0,4
38,7,Norway,2,0,0,2,1904,0,3
39,8,Austria,1,1,1,3,1904,0,2
40,9,Great_Britain,1,1,0,2,1904,0,6
41,10,Switzerland,1,0,2,3,1904,0,3
42,11,Greece,1,0,1,2,1904,0,11
43,12,Australia,0,3,1,4,1904,0,2
44,13,France,0,1,0,1,1904,0,1
45,1,Great_Britain,56,51,39,146,1908,1,550
46,2,United_States,23,12,12,47,1908,0,119
47,3,Sweden,8,6,11,25,1908,0,151
48,4,France,5,5,9,19,1908,0,182
49,5,Germany,3,5,5,13,1908,0,80
50,6,Hungary,3,4,2,9,1908,0,56
51,7,Canada,3,3,10,16,1908,0,76
52,8,Norway,2,3,3,8,1908,0,55
53,9,Italy,2,2,0,4,1908,0,66
54,10,Belgium,1,5,2,8,1908,0,58
55,11,Australasia,1,2,2,5,1908,0,30
56,12,Russian_Empire,1,2,0,3,1908,0,30
57,13,Finland,1,1,3,5,1908,0,62
58,14,South_Africa,1,1,0,2,1908,0,14
59,15,Greece,0,3,1,4,1908,0,20
60,16,Denmark,0,2,3,5,1908,0,78
61,17,Bohemia,0,0,2,2,1908,0,19
62,17,Netherlands,0,0,2,2,1908,0,109
63,19,Austria,0,0,1,1,1908,0,7
64,1,United_States,26,19,19,64,1912,0,172
65,2,Sweden,23,25,17,65,1912,1,365
66,3,Great_Britain,10,15,16,41,1912,0,225
67,4,Finland,9,8,9,26,1912,0,132
68,5,France,7,4,3,14,1912,0,99
69,6,Germany,5,13,7,25,1912,0,162
70,7,South_Africa,4,2,0,6,1912,0,21
71,8,Norway,3,2,5,10,1912,0,147
72,9,Canada,3,2,3,8,1912,0,28
73,9,Hungary,3,2,3,8,1912,0,112
74,11,Italy,3,1,2,6,1912,0,66
75,12,Australasia,2,2,3,7,1912,0,16
76,13,Belgium,2,1,3,6,1912,0,31
77,14,Denmark,1,6,5,12,1912,0,131
78,15,Greece,1,0,1,2,1912,0,22
79,16,Russian_Empire,0,2,3,5,1912,0,22
80,17,Austria,0,2,2,4,1912,0,80
81,18,Netherlands,0,0,3,3,1912,0,33
