Rank,NOC,Gold,Silver,Bronze,Total,Year,Year_inconsistent
1,France,27,39,37,103,1900,False
2,United States,19,14,15,48,1900,False
1,United States,76,78,77,231,1904,False
1,Great Britain,56,51,39,146,1908,False
2,United States,23,12,12,47,1908,False
3,Sweden,8,6,11,25,1908,False
1,United States,26,19,19,64,1912,False
2,Sweden,23,25,17,65,1912,False
1,United States,41,27,27,95,1920,False
1,United States,45,27,27,99,1924,False
2,Finland,14,13,10,37,1924,False
3,France,13,15,10,38,1924,False
1,United States,22,18,16,56,1928,False
2,Germany,10,7,14,31,1928,False
1,United States ,44,36,30,110,1932,False
1,Germany,38,31,32,101,1936,False
2,United States,24,21,12,57,1936,False
1,United States,38,27,19,84,1948,False
2,Sweden,16,11,17,44,1948,False
1,United States,40,19,17,76,1952,False
2,Soviet Union,22,30,19,71,1952,False
3,Hungary,16,10,16,42,1952,False
4,Sweden,12,13,10,35,1952,False
5,Italy,8,9,4,21,1952,False
6,Czechoslovakia,7,3,3,13,1952,False
7,France,6,6,6,18,1952,False
8,Finland,6,3,13,22,1952,False
9,Australia,6,2,3,11,1952,False
1,Soviet Union,37,29,32,98,1956,False
2,United States,32,25,17,74,1956,False
3,Australia,13,8,14,35,1956,False
1,Soviet Union ,43,29,31,103,1960,False
2,United States ,34,21,16,71,1960,False
3,Italy ,13,10,13,36,1960,False
4,United Team of Germany ,12,19,11,42,1960,False
5,Australia ,8,8,6,22,1960,False
6,Turkey ,7,2,0,9,1960,False
7,Hungary ,6,8,7,21,1960,False
1,United States,36,26,28,90,1964,False
2,Soviet Union,30,31,35,96,1964,False
3,Japan,16,5,8,29,1964,False
4,United Team of Germany,10,22,18,50,1964,False
5,Italy,10,10,7,27,1964,False
6,Hungary,10,7,5,22,1964,False
1,United States,45,28,34,107,1968,False
2,Soviet Union,29,32,30,91,1968,False
3,Japan,11,7,7,25,1968,False
1,Soviet Union,50,27,22,99,1972,False
2,United States,33,31,30,94,1972,False
3,East Germany,20,23,23,66,1972,False
4,West Germany,13,11,16,40,1972,False
5,Japan,13,8,8,29,1972,False
1,Soviet Union,49,41,35,125,1976,False
2,East Germany,40,25,25,90,1976,False
